universities,firm,insurance,subjects,grades,status,gcse_subjects,gcse_grades,extracurriculars,supercurriculars
Cambridge,Oxford,Imperial College London,"Mathematics,Physics,Computer Science","A*,A*,A*",Accepted,"Maths,English Language,English Literature,Science","9,8,8,7","Sports,Student Council","Subject Olympiads,University Summer Schools"
Oxford,Cambridge,Warwick,"Mathematics,Further Mathematics,Physics","A*,A,A",Accepted,"Maths,English Language,English Literature,Science","9,9,8,8","Debating,Duke of Edinburgh","Subject Olympiads,Academic Clubs"
Imperial College London,UCL,Manchester,"Chemistry,Physics,Mathematics","A,A,A",Accepted,"Maths,English Language,English Literature,Science","8,7,7,8","Part-time Job,None","Subject-related Reading,None"
Warwick,Bristol,Nottingham,"Biology,Chemistry,Mathematics","A,B,B",Accepted,"Maths,English Language,English Literature,Science","7,6,6,7","None,None","None,None"
UCL,King's College London,Queen Mary University London,"English Literature,History,Politics","A,A,B",Accepted,"Maths,English Language,English Literature,History","6,8,8,6","Drama,School Prefect","Subject-related Reading,None"
Bristol,Exeter,Birmingham,"Geography,Psychology,Sociology","B,B,C",Rejected,"Maths,English Language,English Literature,Geography","5,6,6,5","None,None","None,None"
Manchester,Leeds,Newcastle,"Business,Economics,Mathematics","B,C,C",Rejected,"Maths,English Language,English Literature,Business Studies","5,5,5,5","Part-time Job,None","None,None"
Edinburgh,Glasgow,St Andrews,"Art,Design Technology,Media Studies","B,C,C",Accepted,"Maths,English Language,English Literature,Art","5,6,6,7","Sports,Music","None,None"
King's College London,Queen Mary University London,City,"Law,History,Politics","A,B,B",Accepted,"Maths,English Language,English Literature,History","7,7,7,6","Debating,Student Council","Subject-related Reading,None"
Birmingham,Nottingham,Leeds,"Medicine,Biology,Chemistry","A*,A,A",Rejected,"Maths,English Language,English Literature,Science","9,9,8,8","Duke of Edinburgh,Mentoring","Subject Olympiads,Research Projects"
Glasgow,Brunel,Manchester,"Media Studies,Business Management,Psychology","C,C,C",Rejected,"English Literature,Maths,History,Science","6,4,6,5","Debating,Music","Academic Clubs,University Summer Schools"
Newcastle,Edinburgh,Queen Mary University London,"Economics,Law,Business Management","C,C,C",Accepted,"English Language,History,Art,Business Studies","6,6,5,6","Music,Sports","None,Subject-related Reading"
Brunel,Edinburgh,Sheffield,"Computer Science,Biology,History","E,E,C",Accepted,"Geography,Science,English Literature,History","5,4,4,6","Part-time Job,Sports","Academic Clubs,University Summer Schools"
Birmingham,Edinburgh,Brunel,"Psychology,Economics,Business Management","D,B,B",Accepted,"Business Studies,Geography,History,Science","6,4,6,4","Sports,Part-time Job","Subject-related Reading,University Summer Schools"
Nottingham,Edinburgh,Stirling,"Chemistry,Computer Science,Physics","D,C,C",Accepted,"English Literature,Science,History,Art","4,5,6,6","None,Drama","University Summer Schools,None"
Liverpool,City,Leeds,"Psychology,Sociology,Chemistry","C,D,C",Accepted,"Business Studies,English Literature,Geography,Maths","4,6,6,5","Part-time Job,None","None,Academic Clubs"
Queen Mary University London,Manchester,Liverpool,"Sociology,Biology,Chemistry","C,E,C",Accepted,"Maths,Business Studies,English Language,Geography","6,6,4,4","Drama,Music","Academic Clubs,Subject-related Reading"
Sheffield,Queen Mary University London,Leeds,"History,Environmental Science,Business Management","E,D,D",Rejected,"History,Maths,Business Studies,Science","5,5,6,4","Part-time Job,Debating","None,University Summer Schools"
Glasgow,Leeds,Nottingham,"Sociology,Mathematics,Economics","C,C,C",Rejected,"English Language,Maths,Business Studies,English Literature","4,5,4,6","None,Part-time Job","University Summer Schools,Subject-related Reading"
City,Edinburgh,Liverpool,"Business Management,Computer Science,Media Studies","C,C,C",Accepted,"Science,History,English Literature,Maths","6,4,6,4","Part-time Job,Debating","Subject-related Reading,Academic Clubs"
Nottingham,Liverpool,Sheffield,"Sociology,Business Management,Chemistry","C,E,C",Accepted,"Art,History,Business Studies,English Language","5,6,4,5","Part-time Job,Music","University Summer Schools,None"
Newcastle,Edinburgh,Birmingham,"Physics,Computer Science,Law","D,C,C",Accepted,"Science,Maths,English Language,Business Studies","6,4,5,4","Part-time Job,Debating","Subject-related Reading,University Summer Schools"
Leeds,Birmingham,Sheffield,"Politics,Computer Science,Physics","D,B,C",Rejected,"Art,English Literature,Maths,Geography","5,4,6,4","Sports,Debating","University Summer Schools,Academic Clubs"
City,Brunel,Liverpool,"Sociology,Chemistry,Environmental Science","C,E,C",Accepted,"Science,Geography,English Literature,Art","4,4,4,5","Music,None","University Summer Schools,None"
Brunel,Birmingham,Stirling,"Politics,Mathematics,Psychology","C,C,D",Accepted,"Art,History,Business Studies,Geography","5,4,4,6","Sports,Drama","Academic Clubs,None"
Newcastle,Edinburgh,Birmingham,"Physics,Biology,Environmental Science","C,C,C",Accepted,"English Literature,Geography,Maths,English Language","5,5,6,5","Drama,Sports","None,Academic Clubs"
Brunel,Birmingham,Glasgow,"Environmental Science,Economics,History","D,D,E",Rejected,"Art,Science,History,English Language","5,6,4,6","None,Part-time Job","University Summer Schools,None"
Edinburgh,Birmingham,Nottingham,"Media Studies,Mathematics,Environmental Science","C,B,E",Accepted,"Business Studies,History,Art,English Literature","6,4,4,5","Music,Part-time Job","None,Subject-related Reading"
